file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByOrderId/2[java.util.UUID,consign.service.HttpHeaders]",false,130,4,3,2,1,2,3,10,2,1,2,3,0,0,0,1,0,0,3,2,1,0,1,0,0,0,20,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByAccountId/2[java.util.UUID,consign.service.HttpHeaders]",false,119,4,3,2,1,3,4,10,2,1,2,4,0,0,0,1,0,0,3,2,1,0,1,0,0,0,18,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",false,47,8,4,2,2,1,32,25,1,5,2,32,1,1,0,0,0,0,8,1,5,2,0,1,0,0,27,1,4,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,getServiceUrl/1[java.lang.String],false,41,0,2,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,2,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByConsignee/2[java.lang.String,consign.service.HttpHeaders]",false,141,4,3,2,1,3,3,10,2,1,2,3,0,0,0,1,0,0,3,2,1,0,1,0,0,0,13,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"updateConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",false,82,9,5,2,3,3,31,30,2,4,2,31,2,2,0,1,0,0,5,1,4,1,1,1,0,0,22,1,1,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,testHome/0,false,42,1,0,0,0,1,7,3,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,testExecuteTicket/0,false,49,4,1,0,1,1,15,5,0,1,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,setUp/0,false,36,1,0,0,0,1,3,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-execute-service/src/test/java/execute/controller/ExecuteControlllerTest.java,execute.controller.ExecuteControlllerTest,testCollectTicket/0,false,58,4,1,0,1,1,15,5,0,1,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,getCommandKey/0,false,244,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,getCommandGroup/0,false,248,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,setCommandGroup/1[java.lang.String],false,264,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,setPrefix/1[java.lang.String],false,256,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,setCommandKey/1[java.lang.String],false,260,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,setThreadPoolKey/1[java.lang.String],false,268,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/old-docs/Lib/ms-monitoring-core/src/main/java/org/myproject/ms/monitoring/ChainKeys.java,org.myproject.ms.monitoring.ChainKeys$Hystrix,getThreadPoolKey/0,false,252,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
