file,class,method,variable,usage
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByOrderId/2[java.util.UUID,consign.service.HttpHeaders]",headers,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByOrderId/2[java.util.UUID,consign.service.HttpHeaders]",orderId,2
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByOrderId/2[java.util.UUID,consign.service.HttpHeaders]",consignRecords,2
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByAccountId/2[java.util.UUID,consign.service.HttpHeaders]",accountId,2
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByAccountId/2[java.util.UUID,consign.service.HttpHeaders]",headers,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByAccountId/2[java.util.UUID,consign.service.HttpHeaders]",consignRecords,3
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",result,3
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",headers,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",consign_price_service_url,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",re,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",consignRequest,14
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",consignRecord,13
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"insertConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",requestEntity,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,getServiceUrl/1[java.lang.String],serviceName,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByConsignee/2[java.lang.String,consign.service.HttpHeaders]",headers,0
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByConsignee/2[java.lang.String,consign.service.HttpHeaders]",consignee,2
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"queryByConsignee/2[java.lang.String,consign.service.HttpHeaders]",consignRecords,3
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"updateConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",headers,2
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"updateConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",consign_price_service_url,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"updateConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",re,1
/Users/joeyclapton/rd/puc/lab-medicao-experimentacao-software/sprint-02/repos/train-ticket/ts-consign-service/src/main/java/consign/service/ConsignServiceImpl.java,consign.service.ConsignServiceImpl,"updateConsignRecord/2[consign.entity.Consign,consign.service.HttpHeaders]",consignRequest,16
